"s37rep1_sum"	"s37rep2_sum"	"s37rep3_sum"	"s32rep1_sum"	"s32rep2_sum"	"s32rep3_sum"
"ENSG00000010327"	69	100	80	94	83	39
"ENSG00000010361"	241	222	211	170	221	90
"ENSG00000010404"	267	207	189	280	256	176
"ENSG00000010438"	8	0	0	2	0	1
"ENSG00000010539"	377	320	225	233	355	259
"ENSG00000010610"	11	14	24	0	5	29
"ENSG00000010626"	43	63	102	27	53	54
"ENSG00000010671"	7	6	12	18	3	3
"ENSG00000010704"	0	2	4	12	0	1
"ENSG00000010803"	1523	1179	1613	1101	1137	1039
"ENSG00000010810"	1157	1402	1739	793	977	1440
"ENSG00000010818"	265	246	317	77	80	76
"ENSG00000010932"	0	0	1	0	10	10
"ENSG00000011007"	1918	1754	1429	1571	1466	911
"ENSG00000011009"	870	795	500	633	664	181
"ENSG00000011021"	221	165	160	338	259	127
"ENSG00000011028"	14	23	28	27	24	29
"ENSG00000011052"	18399	22289	12041	15846	18631	14101
"ENSG00000011105"	58	25	7	30	24	11
"ENSG00000011114"	187	138	123	106	148	89
"ENSG00000011132"	68	93	66	62	68	51
"ENSG00000011143"	1163	1195	1216	894	894	1182
"ENSG00000011198"	364	363	282	297	241	176
"ENSG00000011201"	19	29	28	21	14	27
"ENSG00000011243"	477	167	178	275	240	110
"ENSG00000011258"	75	106	102	20	59	72
"ENSG00000011260"	880	701	396	467	514	266
"ENSG00000011275"	836	701	574	418	339	306
"ENSG00000011295"	393	590	469	284	461	427
"ENSG00000011304"	5857	5656	4432	5315	5429	3965
"ENSG00000011332"	49	66	103	25	29	18
"ENSG00000011347"	33	8	1	7	20	16
"ENSG00000011376"	560	426	174	321	322	202
"ENSG00000011405"	455	389	281	209	187	176
"ENSG00000011422"	340	353	292	229	349	240
"ENSG00000011426"	1100	939	637	541	526	372
"ENSG00000011451"	438	428	298	558	437	262
"ENSG00000011454"	118	167	141	83	86	83
"ENSG00000011465"	1	3	1	2	7	2
"ENSG00000011478"	618	527	412	489	427	257
"ENSG00000011485"	618	469	458	453	435	283
"ENSG00000011523"	688	503	607	853	633	418
"ENSG00000011566"	171	170	115	101	104	100
"ENSG00000011600"	0	4	0	0	0	0
"ENSG00000011638"	197	210	233	163	112	195
"ENSG00000012048"	819	789	658	331	559	497
"ENSG00000012061"	1214	944	904	1278	804	497
"ENSG00000012124"	0	0	0	0	0	1
"ENSG00000012174"	303	307	451	256	326	312
"ENSG00000012211"	113	129	114	64	97	80
"ENSG00000012223"	0	0	0	0	0	4
"ENSG00000012232"	866	702	624	525	782	501
"ENSG00000012660"	2301	2014	1607	1295	1696	1390
"ENSG00000012779"	8	12	8	15	6	1
"ENSG00000012822"	263	197	259	135	175	147
"ENSG00000012963"	466	341	240	309	290	197
"ENSG00000012983"	580	658	366	311	401	242
"ENSG00000013016"	24	14	27	13	14	10
"ENSG00000013275"	4159	4371	2416	3402	3077	2521
"ENSG00000013288"	144	133	65	122	120	77
"ENSG00000013293"	0	1	0	0	2	0
"ENSG00000013306"	6237	5667	4039	5568	5149	1781
"ENSG00000013364"	5	6	9	9	14	8
"ENSG00000013374"	1401	1179	989	982	944	867
